STABBR,INSTNM,CITY,ZIP,INSTURL,ALIAS,TUITIONFEE_IN,TUITIONFEE_OUT,ADM_RATE,ICLEVEL,UGDS,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,SATVRMID,SATMTMID,SATWRMID,SAT_AVG,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,FASAPPS,C100_4,C100_L4,TRANS_4,TRANS_L4,UGDS_MEN,UGDS_WOMEN
MN,Carleton College,Northfield,55057-4001,www.carleton.edu,,47736,47736,0.2277,1,2042,0,0,0,0,0,0,0,0,0,705,710,700,1408,32,,,,0.6499,0.0387,0.0637,0.0901,0.0015,0.001,0.0455,0.0926,0.0171,16000,17500,7933,15500,17083,9533,16992,1797,0.9098,,0,,0.474,0.526
AL,Alabama A & M University,Normal,35762,www.aamu.edu/,AAMU,9096,16596,0.5256,1,4206,1,0,0,0,0,0,0,0,0,424,420,420,827,17,17,17,,0.0333,0.9353,0.0055,0.0019,0.0024,0.0019,0,0.0059,0.0138,15000,33888,11500,17500,14331,15738,15000,418,0.1102,,0,,0.4831,0.5169
AL,University of Alabama at Birmingham,Birmingham,35294-0110,www.uab.edu,,7510,17062,0.8569,1,11383,0,0,0,0,0,0,0,0,0,570,565,,1107,24,25,23,,0.5922,0.26,0.0283,0.0518,0.0022,0.0007,0.0368,0.0179,0.01,14382,21941.5,10000,14725,14000,14582,14250,2531,0.3258,,0.2408,,0.4169,0.5831
AL,Amridge University,Montgomery,36117-3553,www.amridgeuniversity.edu,Southern Christian University |Regions University,6900,6900,,1,291,0,0,0,0,0,0,0,0,0,,,,,,,,,0.299,0.4192,0.0069,0.0034,0,0,0,0,0.2715,9500,23370,8687.5,10875,8563,9496,11000,4804,0,,0,,0.3986,0.6014
AL,University of Alabama in Huntsville,Huntsville,35899,www.uah.edu,UAH |University of Alabama Huntsville,9158,21232,0.8203,1,5451,0,0,0,0,0,0,0,0,0,595,590,,1219,27,28,26,,0.6988,0.1255,0.0382,0.0376,0.0143,0.0002,0.0172,0.0332,0.035,15750,24097,9500,16500,15245.5,16875,15500,331,0.1516,,0.3477,,0.5733,0.4267
AL,Alabama State University,Montgomery,36104-0271,www.alasu.edu,,8720,15656,0.5326,1,4811,1,0,0,0,0,0,0,0,0,425,430,,851,18,17,17,,0.0158,0.9208,0.0121,0.0019,0.001,0.0006,0.0098,0.0243,0.0137,14362,33118.5,11500,15500,13738,14971.5,14250,1991,0.0752,,0,,0.3877,0.6123
AL,The University of Alabama,Tuscaloosa,35487-0166,www.ua.edu/,,9826,24950,0.5105,1,29851,0,0,0,0,0,0,0,0,0,555,565,540,1185,27,28,25,7,0.7825,0.1119,0.0348,0.0106,0.0038,0.0009,0.0261,0.0268,0.0026,17375,23750,10000,17750,16513.5,18024,17000,2968,0.3877,,0.2352,,0.458,0.542
AL,Central Alabama Community College,Alexander City,35010,www.cacc.edu,,3491,6576,,2,1592,0,0,0,0,0,0,0,0,0,,,,,,,,,0.7255,0.2613,0.0044,0.0025,0.0044,0,0,0,0.0019,6506,16127,6113,7381.5,5500,8000,5500,8638,,0.1022,,0.2232,0.3756,0.6244
AL,Athens State University,Athens,35611,www.athens.edu,,,,,1,2991,0,0,0,0,0,0,0,0,0,,,,,,,,,0.7823,0.12,0.0191,0.0053,0.0157,0.001,0.0174,0.0057,0.0334,12750,18595,8699,12832,12666,13562,12500,1306,,,,,0.3434,0.6566
AL,Auburn University at Montgomery,Montgomery,36117-3596,www.aum.edu,AUM|Auburn University Montgomery|Auburn University at Montgomery|Auburn Montgomery,9080,19640,0.8017,1,4304,0,0,0,0,0,0,0,0,0,486,509,,1009,22,22,20,,0.5328,0.3376,0.0074,0.0221,0.0044,0.0016,0.0297,0.0397,0.0246,9500,21335,6750,10500,9500,11250,9500,1561,0.0863,,0.512,,0.3648,0.6352
AL,Auburn University,Auburn,36849,www.auburn.edu,,10200,27384,0.8347,1,20514,0,0,0,0,0,0,0,0,0,575,588,565,1215,27,28,26,7,0.8507,0.0704,0.0248,0.0227,0.0074,0,0,0.01,0.014,17500,21831,8250,18000,17000,19500,16907.5,2302,0.4225,,0.207,,0.5103,0.4897
AL,Birmingham Southern College,Birmingham,35254,www.bsc.edu/,,31708,31708,0.5339,1,1180,0,0,0,0,0,0,0,0,0,560,560,,1181,27,28,26,,0.7983,0.1102,0.0195,0.0517,0.0102,0,0.0051,0,0.0051,21500,27000,10500,26151,19750,19500,24176,4576,0.5622,,0,,0.5381,0.4619
AL,Chattahoochee Valley Community College,Phenix City,36869,www.cv.edu,CVCC,4320,7710,,2,1727,0,1,0,0,0,0,0,0,0,,,,,,,,,0.4661,0.4372,0.0492,0.0127,0.0023,0.0035,0.0151,0,0.0139,5500,9000,5499.5,6122,4638,5928.5,5500,411,,0.0256,,0,0.3683,0.6317
AL,Concordia College Alabama,Selma,36701,www.ccal.edu/,CCA,10320,10320,0.5328,1,322,1,0,0,0,0,0,0,0,0,420,400,,942,21,21,18,,0.028,0.8758,0.0373,0.0093,0,0,0.0031,0.0466,0,9500,32000,9500,11000,8250,9500,9500,1625,0.0536,,0.1951,,0.559,0.441
AL,South University-Montgomery,Montgomery,36116,southuniversity.edu,,16360,16360,,1,522,0,0,0,0,0,0,0,0,0,,,,,,,,,0.3046,0.6054,0.0153,0.0153,0.0153,0.0096,0,0.0019,0.0326,9500,25167,6334,9500,9500,9500,9500,536,0.0476,,0,,0.2625,0.7375
AL,Enterprise State Community College,Enterprise,36330-1300,www.escc.edu,Enterprise-Ozark Community College  |Enterprise State Junior College,3976,7140,,2,1729,0,0,0,0,0,0,0,0,0,,,,,,,,,0.6408,0.2435,0.0509,0.0202,0.0081,0.0029,0.0254,0.0012,0.0069,5774,8273,5500,5500,6332,6334,5500,22748,,0.0615,,0.2213,0.5396,0.4604
AL,James H Faulkner State Community College,Bay Minette,36507-2698,www.faulknerstate.edu,,4260,7650,,2,4286,0,0,0,0,0,0,0,0,0,,,,,,,,,0.6979,0.2259,0.032,0.0084,0.0177,0.0014,0.0152,0.0007,0.0009,5500,11000,5500,5832,5215,5500,5500,1392,,0.074,,0,0.3682,0.6318
AL,Faulkner University,Montgomery,36109-3390,www.faulkner.edu,Faulkner,18750,18750,,1,2367,0,1,0,0,0,0,0,0,0,,,,,,,,,0.3874,0.5137,0.0258,0.0042,0.0063,0.0013,0.0173,0.0182,0.0258,15500,22000,12500,18667,10500,16750,14250,3460,0.1193,,0.4954,,0.3954,0.6046
AL,Gadsden State Community College,Gadsden,35903,www.gadsdenstate.edu,GSCC | Gadsden State | Gadsden Community College,3168,5880,,2,4917,1,0,0,0,0,0,0,0,0,,,,,,,,,0.6921,0.2076,0.0305,0.0047,0.0128,0.0018,0.0185,0.015,0.0169,,,,,,,,1862,,0.0609,,0.1399,0.4015,0.5985
AL,New Beginning College of Cosmetology,Albertville,35951,www.nbccosmetology.com,,,,,3,115,0,0,0,0,0,0,0,0,0,,,,,,,,,0.8957,0.0348,0.0696,0,0,0,0,0,0,5500,5500,5972.5,,,5500,5500,3329,,0.375,,0,0.0174,0.9826
